Timestamp,Weight
12:5:16 | 9-5-2024,94.51
14:48:46 | 9-5-2024,131.78
17:33:13 | 9-5-2024,132.37
22:1:32 | 9-5-2024,37.90
22:59:0 | 9-5-2024,65.44
1:13:24 | 10-5-2024,241.01
9:17:29 | 10-5-2024,210.36
10:0:29 | 10-5-2024,165.08
10:0:45 | 10-5-2024,-2.73
10:56:32 | 10-5-2024,10.35
12:2:54 | 10-5-2024,43.44
12:3:14 | 10-5-2024,85.57
12:44:33 | 10-5-2024,23.58
19:20:12 | 10-5-2024,120.69
21:37:44 | 10-5-2024,12.94
